iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,XPTOT_o,emotenss f,Remoteness,,
ABW,IND,14750.65835,1,0,,1.46E+11,1376.199951,14646.39729,35875028,1.63E+07,1.01E-07,,
ABW,IRL,7123.465476,1,0,,71657667879,2270.466553,7165.766788,34118360,1.61E+07,9.94E-08,,
ABW,IRN,11939.98329,0,0,,1.19E+11,403240.0313,11864.05977,35246280,1.63E+07,1.01E-07,,
ABW,IRQ,11443.27222,0,0,,1.14E+11,351.7999878,11408.23759,41050908,1.62E+07,1.00E-07,,
ABW,ISL,6857.101181,0,0,,68217969751,2558.93335,6821.796975,49876036,1.63E+07,1.01E-07,,
ABW,ISR,10642.41798,1,0,,1.06E+11,75.53333282,10623.48721,64905720,1.62E+07,1.00E-07,,
ABW,ITA,8427.789375,0,0,,84690826784,100,8469.082678,98619152,1.61E+07,9.95E-08,,
ABW,JAM,977.9513464,1,0,,93757822595,3504,9375.782259,101646384,1.69E+06,1.04E-08,,
ABW,JOR,10735.07689,1,0,,1.07E+11,3685,10730.25988,166022400,1.62E+07,1.00E-07,,
ABW,JPN,13944.01009,0,0,,1.38E+11,1863.765381,13811.27098,179929600,1.63E+07,1.01E-07,,
ABW,KAZ,12272.96734,0,0,,1.30E+11,2077,12960.0469,140366192,1.53E+07,9.47E-08,,
ABW,KEN,11902.33997,1,0,386408256,1.19E+11,23560,11867.54731,205405824,1.62E+07,1.00E-07,,
ABW,KGZ,12931.07989,0,0,,1.29E+11,198.1999969,12882.0173,288501600,1.62E+07,1.00E-07,,
ABW,KHM,17255.06311,0,0,,1.73E+11,1098.400024,17281.39912,354222144,1.61E+07,9.98E-08,,
ABW,KNA,1383.822179,1,0,,9476433549,626.8400269,947.6433549,405292480,2.36E+07,1.46E-07,,
ABW,KOR,14259.76646,1,0,,1.42E+11,663,14169.76213,480939520,1.63E+07,1.01E-07,,
ABW,KWT,11920.18922,1,0,,1.19E+11,104.1999969,11904.01095,475893824,1.62E+07,1.00E-07,,
ABW,LAO,16573.99447,0,0,,1.65E+11,355.0400085,16530.2732,441832480,1.62E+07,1.00E-07,,
ABW,LBN,10634.89953,1,0,,1.06E+11,215833.5625,10621.41107,376572736,1.62E+07,1.00E-07,,
ABW,LBR,6573.055802,1,0,413936128,65223959299,32917,6522.39593,313306624,1.63E+07,1.01E-07,,
ABW,LBY,8900.734592,0,0,,86304488041,1088.488159,8630.448804,222057168,1.67E+07,1.03E-07,,
ABW,LCA,989.2424757,1,0,,9938161460,1480.733276,993.816146,144236816,1.61E+07,9.95E-08,,
ABW,LKA,16049.49704,0,0,,1.60E+11,224.8399963,16045.18593,132402912,1.62E+07,1.00E-07,,
ABW,LSO,11425.87952,1,0,,1.14E+11,2862.919922,11404.23231,107182272,1.62E+07,1.00E-07,,
ABW,LTU,9122.045166,0,0,,92120111181,453.7999878,9212.011118,170812928,1.60E+07,9.90E-08,,
ABW,LVA,9111.285723,0,0,,90919476872,3619.600098,9091.947687,504775296,1.62E+07,1.00E-07,,
ABW,MAC,16137.8877,0,0,,1.61E+11,4371.560059,16138.43256,76008040,1.62E+07,1.00E-07,,
ABW,MAR,6777.430812,0,0,97653640,67005366098,12869,6700.53661,115937472,1.64E+07,1.01E-07,,
ABW,MDA,9653.516884,0,0,,96575291886,3428.320068,9657.529189,91200800,1.62E+07,1.00E-07,,
ABW,MDG,13328.06937,0,0,,1.33E+11,6873.666504,13325.24582,101128512,1.62E+07,1.00E-07,,
