Employee,Years
262,7
263,4
264,89.68284946
265,8
266,14
267,46.100985
268,34.60219768
269,12
270,15
271,9
272,7
273,13
274,73.62518318
275,3.529682746
276,0.258538425
277,26.49247852
278,3.14020375
279,2.044487822
280,10
281,3
282,11.62499435
283,18
284,37.52952097
285,7
286,2.280402807
287,5
288,0.183122984
289,7
290,55.58484144
291,2.092050992
292,1
293,0.201267801
294,53.26598896
295,2.14748499
296,66.9512379
297,0.428512246
298,0.564691817
299,15.375
300,10
301,76.01554618
302,2.090363102
303,59.49792626
304,0.270263533
305,10
306,2.03079085
307,4
308,1.326403096
309,2.510788528
310,5.119588213
311,7
312,47.34707419
313,39.65982276
314,7
315,2.345986465
316,0.31870862
317,1.220109655
318,10
319,9.008336022
320,4.149086674
321,2.757460982
322,0.86587353
323,11.29526256
324,0.317226995
325,10
326,2.085156057
327,11.14282165
328,2.104999161
329,7
330,8.125
331,78.50915637
332,2.035761089
333,10
334,7.002577827
335,4.069007168
336,8
337,1
338,4.333892243
339,29.16927988
340,15
341,17.5
342,96.60475077
343,9
344,88.84547338
345,7
346,0.469675508
347,49.88031191
348,2.084072372
349,3.346416355
350,7
351,10
352,7
353,10.72317711
354,7.147556294
355,27.375
356,1
357,10
358,66.77512339
359,0.412160397
360,7
361,2.454039748
362,45.69487982
363,2.050264432
364,16
365,11.375
366,8
367,67.35167876
368,9.054540896
369,7
370,27.25
371,7
372,4
373,8
374,21.06303182
375,53.22389643
376,2.277981021
377,7
378,82.9056401
379,7
380,10
381,0.089456409
382,5.875
383,8
384,10.375
385,7
386,7
387,72.54446971
388,2.75
389,0.441210406
390,50.43241887
391,10
392,72.38621451
393,3.020131285
394,0.269673297
395,7
396,4.110991517
397,76.97344306
398,2.013606145
399,14
400,12.39699939
401,10
402,0.434600131
403,7
404,10
405,0.484215292
406,26.375
407,7
408,2.211386452
409,2.316210895
410,2.216331775
411,10
412,2.037335519
413,1.783202321
414,58.25151349
415,0.414566469
416,9
417,23.13609491
418,60.57912533
419,9
420,2.504237504
421,78.51830774
422,12.5
423,9
424,2.112932335
425,2.017078385
426,0.114673128
427,26.61410074
428,2.038457187
429,13.875
430,13.75
431,2.471473771
432,29.375
433,0.444045235
434,8.242523968
435,8
436,7.828848495
437,8
438,64.25844103
439,8
440,10.09240282
441,12
442,25.125
443,7
444,7
445,2.2606113
446,10
447,7.638691006
448,2.012575644
449,8.459957349
450,0.127375141
451,2.27120872
452,15
453,87.91401033
454,0.046674831
455,4
456,2
457,4
458,3.462688023
459,11.625
460,2.101920925
461,7
462,59.3390689
463,2.150084355
464,0.536015372
465,23.625
466,0.078263067
467,0.266913851
468,7
469,77.26950658
470,53.72873101
471,77.01696509
472,61.4328003
473,8
474,90.23654478
475,2.274391199
476,87.21820293
477,2.222776139
478,3.371297755
479,2.151554111
480,3.540372577
481,7.647933385
482,7
483,69.75903249
484,80.76410878
485,28.9299102
486,4
487,7.367357367
488,0.009786108
489,4
490,10
491,11.68744753
492,15
493,80.72407623
494,81.50845391
495,2.062781796
496,9
497,2.522664909
498,61.67082515
499,2
500,0.450188327
501,0.273084491
502,37.13260775
503,3.197518454
504,2.145162427
505,10
506,15
507,7
508,15
509,2.239834002
510,0.063142906
511,7
512,2.656268955
513,3.375
514,73.30424987
515,72.59935521
516,
517,2.077823651
518,5.875
519,7
520,4.195516715
521,3.047563951
522,14
523,0.40826971
524,1.635508065
525,63.51955065
526,2.158361639
527,2
