value predictor(x_i),resource consumption(x_i),def_value1,value predictor(x_change),resource consumption(x_change),def_value2,,,,
-14204.625,28195,-0.503799433,-8561.90326,27631.1,-0.309864727,,,,
-12593.56054,20593,-0.611545697,-7236.883249,19357.42,-0.373855775,,,,
-18944.89431,26909,-0.704035613,-13021.15274,26370.82,-0.493771249,,,,
-13228,15149,-0.87319295,-11408.48391,15149,-0.75308495,,,,
-13136.93668,30116,-0.436211206,-8314.883227,29513.68,-0.281729802,,,,
-10050.97313,12987,-0.773925705,-10050.97313,12987,-0.773925705,,,,
-11132,16053,-0.693452937,-7919.281004,15731.94,-0.503388711,,,,
-8727,11651,-0.749034418,-5928.12886,11651,-0.508808588,,,,
-7516,14443,-0.520390501,-4336.51798,14154.14,-0.306378062,,,,
-31817,44784,-0.710454627,-22854.82592,43888.32,-0.520749619,,,,
-8399,18360,-0.457461874,-3990.0296,17625.6,-0.226376952,,,,
-26502,33521,-0.790608872,-19122.68706,32850.58,-0.582111094,,,,
-32715.1537,35753,-0.915032409,-32715.1537,35753,-0.915032409,,,,
-24705,31690,-0.779583465,-17729.3972,31056.2,-0.570881087,,,,
-21288,27239,-0.781526488,-15838.67462,26694.22,-0.593337232,,,,
-26336,36376,-0.723993842,-19057.88992,34193.44,-0.557355151,,,,
-15031,16954,-0.886575439,-15031,16954,-0.886575439,,,,
-8667,26661,-0.32508158,-3331.280748,26127.78,-0.127499571,,,,
-38449.7547,44449,-0.865030815,-28664.75184,43560.02,-0.658051852,,,,
-26862,34831,-0.771209555,-19891.15092,34134.38,-0.582730693,,,,
-20553,30549,-0.67278798,-14440.75608,29327.04,-0.492404146,,,,
-22637,32630,-0.693748085,-15459.126,30672.2,-0.504010994,,,,
-15129,18073,-0.837105074,-14769.2359,18073,-0.81719891,,,,
-11555,19530,-0.591653866,-6865.0658,18748.8,-0.366160277,,,,
-14494.57286,25449,-0.56955373,-9402.6451,22904.1,-0.410522356,,,,
-31663,41599,-0.761148105,-22504.70788,40767.02,-0.552032204,,,,
-10681,24665,-0.433042773,-5256.15949,21705.2,-0.242161302,,,,
-20229,27169,-0.744561817,-14248.01634,26625.62,-0.535124303,,,,
-15898.97032,22856,-0.695614732,-10410.33048,21941.76,-0.474452846,,,,
-10542,17491,-0.602709965,-6691.88108,17141.18,-0.390397924,,,,
-20308.59746,30269,-0.670937179,-13646.53233,28452.86,-0.479619003,,,,
-22468,30408,-0.738884504,-15773.98288,29799.84,-0.529331127,,,,
-30279.375,32228,-0.939536273,-26412.92687,32228,-0.819564567,,,,
-24204,31139,-0.77728893,-17349.68332,30516.22,-0.568539725,,,,
-29718,44695,-0.664906589,-19881.5244,41119.4,-0.483507162,,,,
-29207,32161,-0.908149622,-22770.29746,32161,-0.708009622,,,,
-26743.87608,28757,-0.929995343,-26744.45,28757,-0.930015301,,,,
-24119,33098,-0.728714726,-16833.46824,31774.08,-0.529786173,,,,
-17267,20255,-0.852480869,-17267,20255,-0.852480869,,,,
-16047.90969,19017,-0.843871782,-16047.90969,19017,-0.843871782,,,,
-22905,43904,-0.52170645,-14119.8096,39513.6,-0.3573405,,,,
-20389,36375,-0.560522337,-13115.49086,33465,-0.391916655,,,,
-9772,16705,-0.584974559,-5761.612094,16036.8,-0.359274425,,,,
-10829,21775,-0.497313433,-6907.758,20904,-0.330451493,,,,
-5653,17651,-0.320265141,-2121.0349,15885.9,-0.133516823,,,,
-15930,30930,-0.515033948,-8504.9442,25362.6,-0.335334082,,,,
-18888,26829,-0.704014313,-12982.40052,26292.42,-0.493769707,,,,
-7904,10835,-0.729487771,-5735.61312,10835,-0.529359771,,,,
-24674,27697,-0.890854605,-19130.83321,27697,-0.690718605,,,,
-28775.92679,30742,-0.936046021,-28775.98,30742,-0.936047752,,,,
-44497,52489,-0.847739526,-33994.37101,49339.66,-0.68898673,,,,
-24852.625,32842,-0.756732994,-17622.78712,32185.16,-0.547543872,,,,
-40849,42869,-0.952879703,-40849,42869,-0.952879703,,,,
-26356.52237,36322,-0.725635217,-18362.77661,33416.24,-0.549516541,,,,
-19152.75,35080,-0.545973489,-12132.11944,34378.4,-0.352899479,,,,
-17601.66742,19510,-0.902186951,-17601.98727,19510,-0.902203346,,,,
-24372.59833,36360,-0.670313485,-17097.12977,35632.8,-0.479814378,,,,
-29090.125,42066,-0.691535325,-21518.33062,41224.68,-0.521976899,,,,
-35427,42424,-0.835069772,-26936.60003,41575.52,-0.647895686,,,,
-28558.27635,41525,-0.687736938,-19423.80181,35711.5,-0.543908876,,,,
-18570.73379,25519,-0.727721846,-12952.98113,25008.62,-0.517940659,,,,
-30140.75,38114,-0.790805216,-22518.42062,37351.72,-0.602875065,,,,
-23692,30634,-0.773389045,-16948.23124,30021.32,-0.564539842,,,,
-12804.10732,23751,-0.539097609,-7103.3549,20425.86,-0.347762831,,,,
-17878,23863,-0.749193312,-12625.27644,23385.74,-0.539870726,,,,
-25723,26678,-0.964202714,-25722.06147,26678,-0.964167534,,,,
-30534,31477,-0.970041618,-27385.67046,31477,-0.870021618,,,,
-18936,25910,-0.730837514,-12713.9726,24873.6,-0.511143244,,,,
-13128.08572,26088,-0.503223157,-7385.94768,25566.24,-0.288894561,,,,
-10885,19869,-0.547838341,-6908.577292,19471.62,-0.354802389,,,,
-26784,36801,-0.72780631,-18684.83592,33856.92,-0.551876423,,,,
-26875,26787,-1.003285176,-26876.95,26787,-1.003357972,,,,
-30256,38167,-0.792726701,-23381.6653,37403.66,-0.625117042,,,,
-26265,31258,-0.840264892,-18759.12424,30007.68,-0.625144104,,,,
