r1,r2
23987,23987
46285,45359.3
38933,38154.34
20417,20008.66
24148,24148
23892,22936.32
24156,23189.76
30713,30713
32241,31596.18
30548,29937.04
38063,35017.96
43624,42751.52
26480,26480
25497,24987.06
15431,15431
47346,46399.08
35903,35184.94
13708,13708
54280,44509.6
37943,36425.28
44113,39701.7
16787,16115.52
51866,46679.4
46971,40395.06
13261,13261
10603,10603
34126,34126
10162,10162
30282,27253.8
19063,17156.7
21432,21432
9452,9452
24192,24192
32506,31855.88
40460,38841.6
48869,46914.24
42296,41450.08
40396,36356.4
13166,13166
30371,30371
45542,40987.8
42624,42624
50477,48457.92
24410,23921.8
29374,28199.04
32481,31831.38
47938,46979.24
36461,34273.34
27945,27945
17534,17183.32
19937,19139.52
31639,31639
21418,18419.48
15421,15112.58
39384,38596.32
35363,34655.74
36185,35461.3
34626,31163.4
17478,17128.44
19507,17166.16
29459,29459
19352,18190.88
39986,39986
27040,26499.2
22026,21585.48
34256,33570.88
38006,37245.88
35919,35200.62
36467,35737.66
34205,33520.9
41051,38587.94
15254,15254
34692,33998.16
23185,21793.9
36532,34340.08
39620,33280.8
11617,11617
37402,36653.96
43074,42212.52
22854,21482.76
23081,23081
36300,32670
28014,28014
16074,16074
10637,10637
44562,40997.04
22571,22571
30197,28989.12
36506,35775.88
16088,15444.48
29807,29807
21089,21089
26951,26951
51212,47115.04
42282,39745.08
34215,34215
31395,30767.1
28451,28451
40840,38389.6
14155,14155
30586,30586
32470,31820.6
21090,20668.2
32383,32383
21815,21378.7
56231,53981.76
33849,32495.04
41148,40325.04
14403,14114.94
13971,13971
39737,38942.26
29505,28324.8
38752,37976.96
31116,31116
39548,37175.12
49502,47521.92
49153,46203.82
36819,36082.62
17116,17116
38809,38809
34680,33292.8
19286,18514.56
29045,29045
39259,35333.1
23976,23976
21598,20302.12
28879,28301.42
28433,25589.7
21416,20987.68
15026,14725.48
45904,44067.84
47765,42033.2
27256,26710.88
16966,16287.36
38121,37358.58
46623,44758.08
25822,25305.56
23407,23407
18129,18129
38362,36827.52
22516,22065.68
27192,26104.32
36130,35407.4
31258,28132.2
22805,21892.8
34953,34253.94
37811,37054.78
53538,47113.44
44538,43647.24
21615,21615
35214,34509.72
33830,33830
29591,29591
23342,23342
46194,45270.12
17692,16276.64
38103,37340.94
9990,9990
25444,24935.12
31047,31047
15667,14726.98
42023,36980.24
31160,28667.2
36745,36010.1
36716,36716
30682,30682
16052,16052
47912,45995.52
45036,44135.28
29326,28739.48
23802,23802
27624,27071.52
37425,36676.5
29223,25131.78
28779,28203.42
28173,28173
36337,35610.26
38461,37691.78
28005,27444.9
29512,29512
51308,48229.52
27843,26729.28
18668,18668
31524,30893.52
26014,25493.72
34146,33463.08
25306,25306
15035,15035
22357,21015.58
44331,39011.28
46114,45191.72
22876,22418.48
39575,34826
49034,49034
42505,41654.9
