iso_o,iso_d,Distw,Dist_coord,Evercol,Comlang,Contig
ABW,RUS,10523.26535,9927.827079,0,0,0
ABW,RWA,11138.65365,11153.65962,0,1,0
ABW,SAU,11731.10983,12009.68027,0,0,0
ABW,SDN,10934.82221,10942.27022,0,0,0
ABW,SEN,5733.223384,5678.206832,0,0,0
ABW,SGP,18355.23261,18338.58179,0,1,0
ABW,SLB,14593.49465,14555.18907,0,0,0
ABW,SLE,6281.981129,6215.790237,0,1,0
ABW,SLV,2081.71471,2077.79513,0,0,0
ABW,SOM,12607.73357,12703.06595,0,0,0
ABW,SPM,4035.538593,4024.395712,0,0,0
ABW,STP,8558.069203,8558.139179,0,0,0
ABW,SUR,1873.901373,1791.04639,0,1,0
ABW,SVK,8902.04922,8764.703391,0,0,0
ABW,SVN,8617.865149,8591.146733,0,0,0
ABW,SWE,8587.527722,8705.81028,0,0,0
ABW,SWZ,11750.85047,11724.92084,0,0,0
ABW,SYC,13976.95202,13967.66012,0,1,0
ABW,SYR,10724.00784,10704.97581,0,0,0
ABW,TCD,9341.912636,9197.046802,0,0,0
ABW,TGO,7805.199688,7829.955012,0,0,0
ABW,THA,16932.43068,16913.061,0,0,0
ABW,TJK,12918.99403,12907.7174,0,0,0
ABW,TKM,12265.08232,12252.0112,0,0,0
ABW,TON,12052.02963,12058.06998,0,0,0
ABW,TTO,960.614341,950.5932432,0,1,0
ABW,TUN,8334.207951,8312.976406,0,0,0
ABW,TUR,10126.41731,10186.10434,0,0,0
ABW,TUV,12533.82089,12453.61838,0,0,0
ABW,TWN,15771.77413,15651.88699,0,0,0
ABW,TZA,11986.51587,12261.00399,0,0,0
ABW,UGA,11347.05682,11368.96752,0,1,0
ABW,UKR,9909.713044,9667.759363,0,0,0
ABW,URY,5392.856434,5470.165617,0,0,0
ABW,USA,3859.885423,2773.015977,0,1,0
ABW,USSR,,9927.827079,0,0,0
ABW,UZB,12713.7855,12718.79739,0,0,0
ABW,VCT,953.5869628,957.9387571,0,1,0
ABW,VEN,437.7823585,407.4050215,0,0,0
ABW,VNM,17039.93475,16257.86344,0,0,0
ABW,VUT,13796.53126,13749.34828,0,1,0
ABW,WDEU,,8141.181558,0,0,0
ABW,WSM,11605.07995,11579.64419,0,1,0
ABW,YEM,12205.73349,12145.28576,0,0,0
ABW,YUG,9097.524951,9068.978358,0,0,0
ABW,ZAF,11325.09004,11413.32867,0,1,0
ABW,ZMB,11237.00208,11250.15374,0,1,0
ABW,ZWE,11528.00564,11583.48884,0,1,0
ADEN,AGO,,4255.271041,0,0,0
ADEN,ANT,,12223.26609,0,1,0
ADEN,ARE,,1629.264114,0,1,0
ADEN,ARG,,12026.04127,0,0,0
ADEN,AUS,,12278.15176,0,1,0
ADEN,AUSVIC,,11739.42245,0,1,0
ADEN,AUT,,4745.159591,0,0,0
ADEN,AUTHUN,,4745.502959,0,0,0
ADEN,BDI,,2493.705253,0,0,0
ADEN,BEL,,5595.904456,0,0,0
ADEN,BEN,,4717.945209,0,0,0
ADEN,BGD,,4918.041863,0,0,0
ADEN,BGR,,3928.347378,0,0,0
ADEN,BHR,,1605.592023,0,1,0
ADEN,BHS,,12485.09772,0,1,0
ADEN,BLZ,,13874.25508,0,1,0
ADEN,BMU,,11039.38215,0,1,0
ADEN,BOL,,12845.04916,0,0,0
ADEN,BRA,,10736.93238,0,0,0
ADEN,BRB,,11224.97394,0,1,0
ADEN,BRN,,7712.09294,0,0,0
ADEN,CAF,,3050.875052,0,0,0
ADEN,CAN,,11239.27953,0,1,0
ADEN,CHE,,5122.522311,0,0,0
ADEN,CHL,,13158.50058,0,0,0
ADEN,CIV,,5442.369842,0,0,0
ADEN,CMR,,3812.208979,0,1,0
ADEN,COD,,3792.298343,0,0,0
ADEN,COG,,3793.565682,0,0,0
ADEN,COL,,13017.89192,0,0,0
ADEN,CPV,,7373.538138,0,0,0
ADEN,CRI,,13854.82349,0,0,0
ADEN,CUB,,13038.32823,0,0,0
ADEN,CYM,,13148.4721,0,1,0
ADEN,CYP,,2752.118116,0,0,0
ADEN,CZSK,,4994.19733,0,0,0
ADEN,DEU,,5237.563296,0,0,0
ADEN,DJI,,240.298277,0,1,0
ADEN,DMA,,11339.06975,0,1,0
ADEN,DNK,,5527.918804,0,0,0
ADEN,DOM,,12086.52639,0,0,0
ADEN,DZA,,4935.378084,0,1,0
ADEN,ECU,,13640.17991,0,0,0
ADEN,EGY,,2387.357803,0,1,0
ADEN,ESP,,5639.670204,0,0,0
ADEN,ETH,,802.6432989,0,0,0
ADEN,FIN,,5521.312815,0,0,0
ADEN,FJI,,14998.97729,0,1,0
ADEN,FLK,,12004.30888,0,1,0
ADEN,FRA,,5597.371612,0,0,0
ADEN,GAB,,4155.728367,0,0,0
ADEN,GBR,,5898.892042,1,1,0
ADEN,GBRIND,,3765.858231,0,1,0
ADEN,GBRSOM,,259.9754138,0,1,0
ADEN,GHA,,3072.699856,0,1,0
ADEN,GLP,,11351.49632,0,0,0
ADEN,GMB,,6653.250822,0,1,0
ADEN,GNB,,6567.819013,0,0,0
ADEN,GRC,,3506.658937,0,0,0
ADEN,GRD,,11480.45426,0,1,0
ADEN,GRL,,9054.918997,0,0,0
ADEN,GTM,,14252.10203,0,0,0
ADEN,GUY,,11256.87307,0,1,0
ADEN,HKG,,7349.003474,0,1,0
ADEN,HND,,13965.31462,0,0,0
ADEN,HTI,,12317.50148,0,0,0
ADEN,HUN,,4552.381452,0,0,0
ADEN,IDN,,7144.390584,0,0,0
ADEN,IND,,3048.235424,0,1,0
ADEN,IRL,,6361.959431,0,1,0
ADEN,IRN,,2628.35442,0,0,0
ADEN,IRQ,,2287.07476,0,1,0
