value predictor(x_i),resource consumption(x_i),def_value1,value predictor(x_change),resource consumption(x_change),def_value2,diff_1,change_1,change_1  pct,diff_2,change_2,change_2 pct,,Employee,dc1 diff,dc1 ,dc1 pct,dc2 diff
-30366,33351,-0.910497436,-30363.20705,33351,-0.910413692,2.792947849,9.19762E-05,0.009197615,8.37441E-05,9.19762E-05,0.009197615,,68,8.37441E-05,9.19762E-05,0.009197615,
-28472,37442,-0.760429464,-20979.10696,36693.16,-0.571744351,7492.89304,0.263167078,26.31670778,0.188685113,0.248129671,24.81296713,,69,0.188685113,0.248129671,24.81296713,
-21641,39619,-0.54622782,-13711.97029,38826.62,-0.353159,7929.029708,0.366389248,36.63892476,0.19306882,0.353458416,35.3458416,,70,0.19306882,0.353458416,35.3458416,
-23291.85174,25214,-0.923766627,-19761.08489,25214,-0.783734627,3530.766848,0.15158807,15.15880698,0.140032,0.15158807,15.15880698,,71,0.140032,0.15158807,15.15880698,
-30346,33358,-0.909706817,-30346,33358,-0.909706817,0,0,0,0,0,0,,72,0,0,0,
-12434,20381,-0.610078014,-7950.225445,19973.38,-0.398041065,4483.774555,0.360605964,36.06059639,0.212036949,0.347557106,34.7557106,,73,0.212036949,0.347557106,34.7557106,
-21310,35232,-0.604847866,-16374.13773,34527.36,-0.474236598,4935.862272,0.23162188,23.16218804,0.130611268,0.215940694,21.59406943,,74,0.130611268,0.215940694,21.59406943,
-20318.75,38270,-0.530931539,-12659.69836,37504.6,-0.33755055,7659.05164,0.376945021,37.69450207,0.193380989,0.364229613,36.4229613,,75,0.193380989,0.364229613,36.4229613,
-28165,41148,-0.684480412,-19932.10816,36210.24,-0.550455014,8232.89184,0.292309314,29.23093144,0.134025398,0.195806039,19.58060391,,76,0.134025398,0.195806039,19.58060391,
-14540,16496,-0.8814258,-14540,16496,-0.8814258,0,0,0,0,0,0,,77,0,0,0,
-26325,45303,-0.581087345,-16353.8097,42584.82,-0.384029091,9971.1903,0.378772661,37.8772661,0.197058255,0.339119852,33.91198521,,78,0.197058255,0.339119852,33.91198521,
