Expected Tenure 1,Expected Tenure 2,,Employee,Percentage Change
11.08016709,14,,618,26.35188519
7.241328676,8.00449076,,619,10.53897866
8,9,,620,12.5
2.021785495,87.28479922,,621,4217.213643
7,7,,622,0
7.04,13,,623,84.65909091
7,7,,624,0
7,7,,625,0
3.153870258,3.062631886,,626,-2.89290188
7.293750602,8.207969303,,627,12.53427421
2,62.69085522,,628,3034.542761
0.02,0.138833061,,629,594.165305
2.202171701,2.148169651,,630,-2.452217962
7,15,,631,114.2857143
3.0502196,3.0502196,,632,0
8,71.67227122,,633,795.9033903
3.314621002,3.052009767,,634,-7.922813343
15,7,,635,-53.33333333
7,7,,636,0
4,6.5,,637,62.5
9,8.455722218,,638,-6.047530911
7.24,8.609717808,,639,18.91875425
3,0.632479323,,640,-78.9173559
13,66.3612509,,641,410.4711608
4,3.074440267,,642,-23.13899333
2.538028307,2.25136348,,643,-11.29478447
7,7,,644,0
9.687149438,9.976522469,,645,2.987184546
10.375,84.46489421,,646,714.1194623
2.096488266,2.241494671,,647,6.916633274
7,7,,648,0
11.75,11.75,,649,0
7,2.067519789,,650,-70.46400301
2.039756731,2.09316738,,651,2.618481321
7,2.327080332,,652,-66.75599526
2,0.257655707,,653,-87.11721465
7,15,,654,114.2857143
8,2.066124845,,655,-74.17343944
2,0.020480473,,656,-98.97597635
7,7,,657,0
10,58.64535745,,658,486.4535745
7,7,,659,0
7.19,10,,660,39.08205841
5.01,5.147045887,,661,2.735446846
9.75,9,,662,-7.692307692
15,15,,663,0
2,0.417501058,,664,-79.1249471
7.01,9,,665,28.38801712
15,15,,666,0
2.07,2.172431319,,667,4.948372899
4.217614198,4.217614198,,668,0
9,91.79688027,,669,919.9653363
2.358334935,3.875,,670,64.31084247
4,3.218532868,,671,-19.5366783
3,3,,672,0
9,15,,673,66.66666667
3,30,,674,900
5,10,,675,100
3,0.619383127,,676,-79.35389577
12,57.95331298,,677,382.9442748
7,7,,678,0
2,2,,679,0
4,0.547659818,,680,-86.30850455
7,2.227931178,,681,-68.17241174
2.185265625,2.049784153,,682,-6.199771344
6,7,,683,16.66666667
4.03,8,,684,98.51116625
15,7.11261628,,685,-52.58255813
4.032294102,4.03235367,,686,0.001477273
4,0.296608991,,687,-92.58477523
4,4,,688,0
13,43.24434399,,689,232.6487999
8,10,,690,25
3,1.737769836,,691,-42.0743388
7.034354333,12,,692,70.59134971
21.375,39.5,,693,84.79532164
2.056105713,2.414005865,,694,17.40669994
0.280383793,0.149470451,,695,-46.69076647
7,7,,696,0
8,89.71839923,,697,1021.47999
1.049339044,1.196439885,,698,14.01842825
2.017074905,68.47890942,,699,3294.961151
8.335183793,14,,700,67.96270302
2.025690376,2.11264616,,701,4.292649313
10,15,,702,50
4,92.88008073,,703,2222.002018
38,18.07349971,,704,-52.43815866
0.07,0.251883293,,705,259.8332757
7,26.35110392,,706,276.4443417
3.305047992,39.7483299,,707,1102.65515
2,0.184530194,,708,-90.7734903
7,2.310900391,,709,-66.98713727
5,38.05360087,,710,661.0720174
7,2.686019396,,711,-61.62829434
7,63.6735405,,712,809.6220071
7,9,,713,28.57142857
13,20.19194614,,714,55.32266262
7.102617722,7.402755025,,715,4.22572796
11.85331182,11.68546913,,716,-1.415998267
2,2,,717,0
7,3.026415415,,718,-56.76549407
3.09628375,3.222594964,,719,4.07944569
7.022436676,7.8336444,,720,11.55165595
2.125,2.455442579,,721,15.55023901
10,10,,722,0
7.063576105,10,,723,41.57134929
10,17.93486575,,724,79.3486575
3,2,,725,-33.33333333
4,72.50753114,,726,1712.688279
13,28.93367287,,727,122.5667144
7,0.513436236,,728,-92.66519663
7,7,,729,0
10.375,46.42146659,,730,347.4358226
7,7,,731,0
8,7,,732,-12.5
2.010676534,12.11783528,,733,502.6745265
15,9.070154398,,734,-39.53230401
7,9.125,,735,30.35714286
9,69.79489459,,736,675.4988288
4,4,,737,0
15,7.097456176,,738,-52.68362549
7,15,,739,114.2857143
10,28.67333578,,740,186.7333578
0.02,0.280061204,,741,1300.30602
3.230114573,5.123629065,,742,58.62066033
7,7,,743,0
7,10,,744,42.85714286
10,10,,745,0
2,0.06860601,,746,-96.5696995
10,10,,747,0
11.75,68.19474333,,748,480.3807943
0.369116305,0.130232087,,749,-64.71787205
0.217241689,0.236259554,,750,8.754242838
5.52,7,,751,26.8115942
9.145771748,9.012088873,,752,-1.46169048
7,10,,753,42.85714286
4,2.065305203,,754,-48.36736993
10.01608184,11.81516614,,755,17.96195687
7,9,,756,28.57142857
8.079639775,33.125,,757,309.9811492
4,2.090042594,,758,-47.74893515
15,11.16254758,,759,-25.58301613
9.25,27.625,,760,198.6486486
4,2.045964164,,761,-48.8508959
2,0.045351307,,762,-97.73243465
7.114756602,12,,763,68.66353512
2.053268508,9.875,,764,380.9405083
2,7,,765,250
7,4.378262268,,766,-37.45339617
2.147406551,2.147406551,,767,0
2.061774397,3.375,,768,63.6939524
8,35.06417491,,769,338.3021864
7,15,,770,114.2857143
