Expected Tenure 1,Expected Tenure 2,,Employee,Percentage Change,,change,difference
8,12.41565174,,153,55.19564675,,0.551956468,4.41565174
10,10,,154,0,,0,0
15.75,15.75,,155,0,,0,0
9,47.13778873,,156,423.7532081,,4.237532081,38.13778873
15,10,,157,-33.33333333,,-0.333333333,-5
,47.78512841,,158,#DIV/0!,,#DIV/0!,47.78512841
7,11.24525438,,159,60.64649114,,0.606464911,4.24525438
13,8.831894821,,160,-32.06234753,,-0.320623475,-4.168105179
8.159282185,77.14624351,,161,845.5028244,,8.455028244,68.98696133
7,2.358949288,,162,-66.30072446,,-0.663007245,-4.641050712
3,52.14173182,,163,1638.057727,,16.38057727,49.14173182
7,0.494525521,,164,-92.9353497,,-0.929353497,-6.505474479
0.01,9,,165,89900,,899,8.99
7,2.010425787,,166,-71.27963161,,-0.712796316,-4.989574213
2.08,77.4224133,,167,3622.231409,,36.22231409,75.3424133
7,10.875,,168,55.35714286,,0.553571429,3.875
3.17,7,,169,120.8201893,,1.208201893,3.83
4,2.046227953,,170,-48.84430118,,-0.488443012,-1.953772047
2.029684233,1.254670265,,171,-38.18396751,,-0.381839675,-0.775013968
4,45.09669931,,172,1027.417483,,10.27417483,41.09669931
2.03,14,,173,589.6551724,,5.896551724,11.97
7,79.87492672,,174,1041.070382,,10.41070382,72.87492672
13.75,8,,175,-41.81818182,,-0.418181818,-5.75
8,9.434189217,,176,17.92736521,,0.179273652,1.434189217
15,7,,177,-53.33333333,,-0.533333333,-8
7,8.875,,178,26.78571429,,0.267857143,1.875
7.41,3,,179,-59.51417004,,-0.5951417,-4.41
3,42.04069394,,180,1301.356465,,13.01356465,39.04069394
11,2.177072488,,181,-80.20843193,,-0.802084319,-8.822927512
2.150543126,9,,182,318.4989313,,3.184989313,6.849456874
15,15,,183,0,,0,0
10.32664467,9,,184,-12.84681242,,-0.128468124,-1.32664467
6,0.134259765,,185,-97.76233725,,-0.977623373,-5.865740235
2,9,,186,350,,3.5,7
9,11.86789059,,187,31.865451,,0.31865451,2.86789059
10,8,,188,-20,,-0.2,-2
8,2.030389169,,189,-74.62013539,,-0.746201354,-5.969610831
4,2.207752463,,190,-44.80618843,,-0.448061884,-1.792247537
2.073213184,7,,191,237.640145,,2.37640145,4.926786816
7,15,,192,114.2857143,,1.142857143,8
15,69.91149639,,193,366.0766426,,3.660766426,54.91149639
3.300481564,2.302429073,,194,-30.23960206,,-0.302396021,-0.998052491
2.407784537,2.109986761,,195,-12.36812395,,-0.12368124,-0.297797776
2.012728722,0.038778347,,196,-98.07334458,,-0.980733446,-1.973950375
0.06,81.84896863,,197,136314.9477,,1363.149477,81.78896863
12.75,7,,198,-45.09803922,,-0.450980392,-5.75
7,2.269704101,,199,-67.5756557,,-0.675756557,-4.730295899
2.357486033,49.85184214,,200,2014.618769,,20.14618769,47.49435611
2.04,79.94281202,,201,3818.765295,,38.18765295,77.90281202
15.25,1.02710772,,202,-93.26486741,,-0.932648674,-14.22289228
2,2.521525837,,203,26.07629185,,0.260762919,0.521525837
2.681700706,6.132197222,,204,128.6682182,,1.286682182,3.450496516
7,91.46204397,,205,1206.600628,,12.06600628,84.46204397
5,2.30748327,,206,-53.8503346,,-0.538503346,-2.69251673
4,2.110983486,,207,-47.22541285,,-0.472254129,-1.889016514
3,2.240412614,,208,-25.31957953,,-0.253195795,-0.759587386
2.079089447,7,,209,236.6858511,,2.366858511,4.920910553
7,10,,210,42.85714286,,0.428571429,3
15,0.1840643,,211,-98.77290467,,-0.987729047,-14.8159357
2,1.248348986,,212,-37.5825507,,-0.375825507,-0.751651014
1.256897569,65.29046225,,213,5094.573039,,50.94573039,64.03356468
8,3,,214,-62.5,,-0.625,-5
3,7.103394199,,215,136.7798066,,1.367798066,4.103394199
15,0.411705185,,216,-97.25529877,,-0.972552988,-14.58829482
1,2,,217,100,,1,1
7,3.333805885,,218,-52.37420164,,-0.523742016,-3.666194115
