Expected Tenure 1,Expected Tenure 2,,,,,
7,39.65982276,,,,,
4,7,,,,,
7,2.345986465,,,,,
3,0.31870862,,,,,
0.01,1.220109655,,,,,
2,10,,,,,
15,9.008336022,,,,,
7.33,4.149086674,,,,,
4.08954433,2.757460982,,,,,
3,0.86587353,,,,,
2,11.29526256,,,,,
15,0.317226995,,,,,
2,10,,,,,
7,2.085156057,,,,,
2.04890135,11.14282165,,,,,
17.25,2.104999161,,,,,
4,7,,,,,
7,8.125,,,,,
7,78.50915637,,,,,
11,2.035761089,,,,,
2.21,10,,,,,
15,7.002577827,,,,,
7.973392157,4.069007168,,,,,
4.011319351,8,,,,,
8,1,,,,,
1,4.333892243,,,,,
7,29.16927988,,,,,
2.06,15,,,,,
7,17.5,,,,,
4,96.60475077,,,,,
4.587942692,9,,,,,
9,88.84547338,,,,,
9,7,,,,,
7,0.469675508,,,,,
0.124082838,49.88031191,,,,,
22.5,2.084072372,,,,,
2.109457039,3.346416355,,,,,
3.09,7,,,,,
7,10,,,,,
9.100242844,7,,,,,
7,10.72317711,,,,,
10.0491542,7.147556294,,,,,
7.124871478,27.375,,,,,
13.35138481,1,,,,,
2,10,,,,,
7,66.77512339,,,,,
4.185220514,0.412160397,,,,,
0.03,7,,,,,
7,2.454039748,,,,,
7,45.69487982,,,,,
8,2.050264432,,,,,
3,16,,,,,
7.16,11.375,,,,,
2.158346977,8,,,,,
7,67.35167876,,,,,
7.485247545,9.054540896,,,,,
10,7,,,,,
7,27.25,,,,,
27.125,7,,,,,
7,4,,,,,
4,8,,,,,
7,21.06303182,,,,,
15,53.22389643,,,,,
9,2.277981021,,,,,
7,7,,,,,
7,82.9056401,,,,,
4.300260645,7,,,,,
2,10,,,,,
7.04,0.089456409,,,,,
1,5.875,,,,,
7,8,,,,,
8,10.375,,,,,
7,7,,,,,
7,7,,,,,
7,72.54446971,,,,,
10.75,2.75,,,,,
2.018572517,0.441210406,,,,,
7,50.43241887,,,,,
7.625,10,,,,,
10,72.38621451,,,,,
5,3.020131285,,,,,
4,0.269673297,,,,,
0.01,7,,,,,
7,4.110991517,,,,,
4.010871441,76.97344306,,,,,
7,2.013606145,,,,,
2.013606145,14,,,,,
7.065122704,12.39699939,,,,,
13,10,,,,,
4,0.434600131,,,,,
4,7,,,,,
7,10,,,,,
7,0.484215292,,,,,
0.066322645,26.375,,,,,
7.75,7,,,,,
7,2.211386452,,,,,
2.601862199,2.316210895,,,,,
7,2.216331775,,,,,
3,10,,,,,
7,2.037335519,,,,,
4,1.783202321,,,,,
2,58.25151349,,,,,
5.192980149,0.414566469,,,,,
2,9,,,,,
9,23.13609491,,,,,
13,60.57912533,,,,,
4,9,,,,,
9,2.504237504,,,,,
4,78.51830774,,,,,
11,12.5,,,,,
11,9,,,,,
7.51,2.112932335,,,,,
2.01572371,2.017078385,,,,,
2.008740555,0.114673128,,,,,
0.01,26.61410074,,,,,
2.011965881,2.038457187,,,,,
4,13.875,,,,,
14,13.75,,,,,
7,2.471473771,,,,,
4,29.375,,,,,
10,0.444045235,,,,,
0.121858032,8.242523968,,,,,
8.043639393,8,,,,,
8,7.828848495,,,,,
9.998629162,8,,,,,
8,64.25844103,,,,,
7,8,,,,,
8,10.09240282,,,,,
15,12,,,,,
12.125,25.125,,,,,
13,7,,,,,
7,7,,,,,
7,2.2606113,,,,,
4,10,,,,,
15,7.638691006,,,,,
15,2.012575644,,,,,
2.05,8.459957349,,,,,
8.11,0.127375141,,,,,
7,2.27120872,,,,,
7,15,,,,,
7,87.91401033,,,,,
19.25,0.046674831,,,,,
0.05,4,,,,,
4,2,,,,,
7,4,,,,,
3.40272448,3.462688023,,,,,
3.443538659,11.625,,,,,
11.625,2.101920925,,,,,
4,7,,,,,
7,59.3390689,,,,,
2.059250926,2.150084355,,,,,
2.05,0.536015372,,,,,
7,23.625,,,,,
8,0.078263067,,,,,
2,0.266913851,,,,,
2,7,,,,,
7,77.26950658,,,,,
5,53.72873101,,,,,
7.06,77.01696509,,,,,
4,61.4328003,,,,,
5.663570912,8,,,,,
8,90.23654478,,,,,
3.116364353,2.274391199,,,,,
2.085509924,87.21820293,,,,,
11.5,2.222776139,,,,,
4,3.371297755,,,,,
3.015060342,2.151554111,,,,,
3,3.540372577,,,,,
3.09,7.647933385,,,,,
7.35,7,,,,,
7,69.75903249,,,,,
2.247636687,80.76410878,,,,,
2.05,28.9299102,,,,,
7.17,4,,,,,
4,7.367357367,,,,,
15,0.009786108,,,,,
0.016879226,4,,,,,
4,10,,,,,
7,11.68744753,,,,,
15,15,,,,,
15,80.72407623,,,,,
9,81.50845391,,,,,
7,2.062781796,,,,,
2.062781796,9,,,,,
3.271042348,2.522664909,,,,,
2.097968374,61.67082515,,,,,
13,2,,,,,
2,0.450188327,,,,,
2,0.273084491,,,,,
4,37.13260775,,,,,
20.5,3.197518454,,,,,
7,2.145162427,,,,,
4,10,,,,,
7,15,,,,,
15,7,,,,,
7,15,,,,,
7.19,2.239834002,,,,,
2.082925892,0.063142906,,,,,
0.025872732,7,,,,,
7,2.656268955,,,,,
4,3.375,,,,,
3.105627363,73.30424987,,,,,
17,72.59935521,,,,,
5,,,,,,
3,2.077823651,,,,,
6,5.875,,,,,
7,7,,,,,
7,4.195516715,,,,,
4,3.047563951,,,,,
8,14,,,,,
4,0.40826971,,,,,
2,1.635508065,,,,,
2.132305807,63.51955065,,,,,
2.029516413,2.158361639,,,,,
2,2,,,,,
4.015993711,13,,,,,
4,4,,,,,
14,77.04273795,,,,,
1,0.800993084,,,,,
4,2.569292159,,,,,
2.031756969,2.044150198,,,,,
2.098786261,2.098786261,,,,,
8,17.875,,,,,
2.02,40.94175733,,,,,
4,3.838485947,,,,,
4,49.76811316,,,,,
7,2,,,,,
10,36.58555892,,,,,
4,70.42786508,,,,,
14,14,,,,,
7,2.216822597,,,,,
7,7,,,,,
7,7,,,,,
7,10,,,,,
4.176441149,7,,,,,
3.142862285,3.042670075,,,,,
3.103749656,3.212448979,,,,,
13,13,,,,,
3,2.012359277,,,,,
2,0.390109239,,,,,
8.014571714,8.250427065,,,,,
3,3,,,,,
2.009052069,32.50543017,,,,,
4,1.090401619,,,,,
1,0.441887743,,,,,
4.008889774,8,,,,,
2.119755513,2.137068937,,,,,
7,3.468682244,,,,,
7,44.31278007,,,,,
7,7,,,,,
9.043122322,10.29683728,,,,,
0.052398483,1.016540463,,,,,
8,80.62400312,,,,,
4,2.210683991,,,,,
15,13.50670011,,,,,
1,2,,,,,
2,0.60002521,,,,,
8,24,,,,,
8,41.16030708,,,,,
9.75,55.00550491,,,,,
2,19.875,,,,,
8,8,,,,,
7,7,,,,,
7,81.46947202,,,,,
3,1.166563492,,,,,
4,2.145054147,,,,,
8.24,15,,,,,
39.625,15,,,,,
7,7,,,,,
7,4,,,,,
