r1,r2,e
30713,30713,755
32241,31596.18,756
30548,29937.04,757
38063,35017.96,758
43624,42751.52,759
26480,26480,760
25497,24987.06,761
15431,15431,762
47346,46399.08,763
35903,35184.94,764
13708,13708,765
54280,44509.6,766
37943,36425.28,767
44113,39701.7,768
16787,16115.52,769
51866,46679.4,770
46971,40395.06,771
13261,13261,772
10603,10603,773
34126,34126,774
10162,10162,775
30282,27253.8,776
19063,17156.7,777
21432,21432,778
9452,9452,779
24192,24192,780
32506,31855.88,781
40460,38841.6,782
48869,46914.24,783
42296,41450.08,784
40396,36356.4,785
13166,13166,786
30371,30371,787
45542,40987.8,788
42624,42624,789
50477,48457.92,790
24410,23921.8,791
29374,28199.04,792
32481,31831.38,793
47938,46979.24,794
36461,34273.34,795
27945,27945,796
17534,17183.32,797
19937,19139.52,798
31639,31639,799
21418,18419.48,800
15421,15112.58,801
39384,38596.32,802
35363,34655.74,803
36185,35461.3,804
34626,31163.4,805
17478,17128.44,806
19507,17166.16,807
29459,29459,808
19352,18190.88,809
39986,39986,810
27040,26499.2,811
22026,21585.48,812
34256,33570.88,813
38006,37245.88,814
35919,35200.62,815
36467,35737.66,816
34205,33520.9,817
41051,38587.94,818
15254,15254,819
34692,33998.16,820
23185,21793.9,821
36532,34340.08,822
39620,33280.8,823
11617,11617,824
37402,36653.96,825
43074,42212.52,826
22854,21482.76,827
23081,23081,828
36300,32670,829
28014,28014,830
16074,16074,831
10637,10637,832
44562,40997.04,833
22571,22571,834
30197,28989.12,835
36506,35775.88,836
16088,15444.48,837
29807,29807,838
21089,21089,839
26951,26951,840
51212,47115.04,841
42282,39745.08,842
34215,34215,843
31395,30767.1,844
28451,28451,845
40840,38389.6,846
14155,14155,847
30586,30586,848
32470,31820.6,849
21090,20668.2,850
32383,32383,851
21815,21378.7,852
56231,53981.76,853
33849,32495.04,854
41148,40325.04,855
14403,14114.94,856
13971,13971,857
39737,38942.26,858
29505,28324.8,859
38752,37976.96,860
31116,31116,861
39548,37175.12,862
49502,47521.92,863
49153,46203.82,864
36819,36082.62,865
17116,17116,866
38809,38809,867
34680,33292.8,868
19286,18514.56,769
29045,29045,870
39259,35333.1,871
23976,23976,872
21598,20302.12,873
28879,28301.42,874
28433,25589.7,875
21416,20987.68,876
15026,14725.48,877
45904,44067.84,879
47765,42033.2,879
27256,26710.88,880
16966,16287.36,881
38121,37358.58,882
46623,44758.08,883
25822,25305.56,884
23407,23407,885
18129,18129,886
38362,36827.52,887
22516,22065.68,888
27192,26104.32,889
36130,35407.4,890
31258,28132.2,891
22805,21892.8,892
34953,34253.94,893
37811,37054.78,894
53538,47113.44,895
44538,43647.24,896
21615,21615,897
35214,34509.72,898
33830,33830,899
29591,29591,900
23342,23342,901
46194,45270.12,902
17692,16276.64,903
